German,Russian,kater,Кот
German,Russian,lehrer,учитель
German,Russian,da,там
English,Russian,strike up,зажечь
English,Russian,shin,голень
English,Russian,spank,шлепать
English,Russian,knit,вязать
English,Russian,groovy,заводной
English,Russian,crumpet,пышка
English,Russian,nemesis,Немезида
English,Russian,necklace,ожерелье
English,Russian,unhinged,расстроенный
English,Russian,pasty,пастообразный
English,Russian,revel,упиваться
English,Russian,cruel,жестокий
English,Russian,bleach,отбеливать
English,Russian,mop,швабра
English,Russian,angle,угол
English,Russian,disguises,маскировки
English,Russian,withdraw,снять со счета
German,Russian,zum,к
German,Russian,alles,Все
German,Russian,bis,до
German,Russian,bald,скоро
English,Russian,porch,порог
English,Russian,blueprint,план
English,Russian,disposal,утилизация
German,Russian,tier,животное
German,Russian,pferd,лошадь
German,Russian,eule,сова
German,Russian,biene,пчела
German,Russian,mensch,человек
German,Russian,freund,друг
German,Russian,hund,собака
English,Russian,top dog,победитель
English,Russian,topdog,победитель
English,Russian,swifty,быстрый
German,Russian,auch,даже
English,Russian,refract,преломлять
Russian,English,лихие,dashing
English,Russian,running nose,насморк
Russian,English,жалобно,pitifully
English,Russian,suitcase,чемодан
English,Russian,predict,предсказывать
English,Russian,prior,прежний
English,Russian,crumble,рассыпаться
English,Russian,reign supreme,править безраздельно
German,Russian,teller,Пластина
English,Russian,rooster,петух
Russian,English,трактовать,interpret
Russian,English,озорной,mischievous
Russian,English,пищевое отравление,food poisoning
English,Russian,tackle,снасти
English,Russian,clingy,прилипчивый
English,Russian,attic,чердак
English,Russian,filling,начинка
English,Russian,takeout,выиграть
English,Russian,catnap,вздремнуть
German,Russian,bad,ванна
English,Russian,crossbar,перекладина
English,Russian,mixture,смесь
English,Russian,kerchief,платок
English,Russian,deceased,покойный
Russian,English,невозмутимый,unperturbed
English,Russian,casket,шкатулка
English,Russian,hearse,катафалк
English,Russian,precipitation,осадки
English,Russian,spring,весна
English,Russian,wipe,вытирать
English,Russian,coaster,каботажное судно
English,Russian,roller coaster,американские горки
English,Russian,frigid,холодный
English,Russian,huddle,сбиваться в кучу
English,Russian,divert,отвлечь
English,Russian,peel,чистить
English,Russian,fluster,нервничать
English,Russian,hoeing,рыхление
English,Russian,candid,откровенный
English,Russian,crutch,костыль
English,Russian,brag,хвастаться
English,Russian,exploit,эксплуатировать
English,Russian,sprig,веточка
Russian,English,находчивый,resourceful
English,Russian,shallow,мелкий
English,Russian,appetite comes with eating,аппетит приходит во время еды
English,Russian,concoction,смесь
English,Russian,beet,свекла
English,Russian,sourceness,источник
English,Russian,fawn,олененок
English,Russian,tie,галстук
English,Russian,gesture,жест
Russian,English,лапа,paw
Russian,English,колея,track
Russian,German,колея,Spur
German,Russian,sie,она
German,Russian,er,он
German,Russian,es,Это
German,Russian,keine ahnung,понятия не имею
German,Russian,echt,настоящий
German,Russian,sind,находятся
German,Russian,wo,Где
English,Russian,peephole,дверной глазок
English,Russian,porpoise,морская свинья
English,Russian,hold on tight,держись крепче
Russian,English,окурок,cigarette butt
English,Russian,platform,Платформа
German,English,kein,no
German,Russian,ein bisschen,немного
German,Russian,nur,Только
English,Russian,cheese pancake,сырник
English,Russian,pretzel,крендель
English,Russian,stun gun,электрошоковый пистолет
English,Russian,torch,факел
English,Russian,in denial,в отрицании
English,Russian,courtesy,учтивость
English,Russian,discourtesy,невежливость
English,Russian,plant-based,на растительной основе
English,Russian,rumbl,грохот
English,Russian,morose,угрюмый
Russian,German,пробраться,durchkommen
